tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000025915	1.44378	1.42948	1.985	3.45418	3.4289	2.15578	1.56612	1.6366	1.71457
ENSMUSG00000025917	76.9084	62.6019	67.6436	61.1829	65.6732	69.9257	77.0245	72.4677	80.0875
ENSMUSG00000025920	4.22989	3.81584	4.67241	4.62395	3.37647	5.01071	3.7704	3.93165	2.95737
ENSMUSG00000025921	2.9944	1.86488	2.08823	2.81186	2.25083	2.17326	2.29728	1.9189	2.15534
ENSMUSG00000025925	41.1496	45.6635	48.7187	73.7294	70.1055	45.5911	62.5921	47.4838	49.074
ENSMUSG00000025930	28.8364	19.6731	18.0328	28.2852	18.0155	18.5052	28.8878	15.3871	25.7274
ENSMUSG00000025931	1.64814	1.27202	1.23955	1.86855	1.35597	0.897619	1.60551	1.32121	1.61676
ENSMUSG00000025932	0.486437	1.15254	0.639958	0.888937	0.683622	0.530461	1.29276	0.78423	1.19041
ENSMUSG00000025933	2.56679	2.26766	1.95255	1.88191	1.6335	2.47045	2.30526	2.47209	2.00855
ENSMUSG00000025934	1.28803	2.43774	2.51417	5.82844	7.4131	2.90542	7.81435	1.20801	6.29812
ENSMUSG00000025935	16.5982	15.1445	16.6865	20.0297	20.8525	15.0345	16.765	17.1948	15.8392
ENSMUSG00000025937	14.784	8.59709	14.46	36.7749	41.4386	13.3119	23.419	10.9167	18.74
ENSMUSG00000025939	9.24501	5.03367	6.02966	7.26583	7.25972	5.74966	7.85356	6.28198	6.82555
ENSMUSG00000025940	14.4509	13.8701	12.9209	16.0301	11.826	8.31611	8.82197	13.0559	11.4301
ENSMUSG00000025949	7.66144	6.29982	7.51238	12.0494	11.1469	6.48641	7.46332	6.73191	7.49669
ENSMUSG00000025950	38.2645	42.5242	40.6044	57.3676	52.9313	40.2369	42.5375	37.1704	40.8563
ENSMUSG00000025952	0.728197	0.513237	1.34125	1.19937	0	1.29375	0.951857	1.07368	0.405365
ENSMUSG00000025956	5.46114	4.17961	3.96223	3.97442	3.04795	4.60477	5.14733	4.85789	5.31395
ENSMUSG00000025958	11.0719	8.05325	6.45007	8.18199	7.5327	7.27527	5.47788	7.16692	5.58503
ENSMUSG00000025959	3.63479	3.09817	3.24951	1.89769	3.53664	3.03392	1.78881	2.76779	2.46332
ENSMUSG00000025962	19.0515	17.8806	15.0862	17.8666	17.8634	16.6776	17.1241	15.1797	14.5206
ENSMUSG00000025964	9.07486	12.1854	11.7064	12.3764	14.8935	12.2302	15.142	13.4293	14.1729
ENSMUSG00000025967	1983.82	1718.14	1739.29	1672.74	1688.26	1843.17	1811.67	1710.39	1634.35
ENSMUSG00000025968	55.4645	57.0014	55.2421	51.9712	59.7034	59.964	56.7742	54.536	52.5233
ENSMUSG00000025969	11.3298	8.55802	9.30684	13.1795	8.76079	8.31577	11.5752	7.98127	12.155
ENSMUSG00000025971	6.47013	5.72681	6.20575	7.07616	5.41453	5.43617	5.73578	5.76157	6.58111
ENSMUSG00000025977	0.499975	1.60973	0.915697	3.02051	5.66884	1.29734	1.69497	1.03084	1.11426
ENSMUSG00000025979	25.33	15.676	26.5247	41.6842	39.5783	25.2112	29.859	20.8897	24.5824
ENSMUSG00000025980	616.293	587.639	661.092	696.492	765.722	611.051	624.532	578.674	529.916
ENSMUSG00000025981	9.26175	9.78544	11.5262	14.8934	11.1368	9.41268	12.4636	9.62889	10.3118
ENSMUSG00000025982	83.706	69.7979	75.9874	87.1815	90.8604	73.6136	84.6027	74.3114	78.2733
ENSMUSG00000025986	18.0021	18.099	18.9536	18.6244	16.5044	20.6263	20.1735	20.1146	18.8793
ENSMUSG00000025993	7.6662	1.87584	1.85363	3.46613	2.10465	2.79332	3.1381	3.04032	2.02484
ENSMUSG00000025995	64.7943	59.1532	65.2405	62.8583	64.1735	62.0832	65.474	65.0059	63.8147
ENSMUSG00000025997	0.0816621	0.0855192	0.464947	1.34322	0.171447	0.380559	0.136912	1.4388	0.211228
ENSMUSG00000026000	30.5203	32.8512	27.6206	39.8614	22.6363	28.831	29.2479	32.0252	32.1597
ENSMUSG00000026003	22.8254	12.5	13.0588	15.8556	12.4166	13.7655	11.6642	13.2956	13.3044
ENSMUSG00000026004	1.17121	0.710665	0.888485	2.77358	2.36722	1.00072	1.44812	0.731267	1.11307
ENSMUSG00000026005	29.611	20.3055	25.3716	36.5082	43.839	28.7317	38.0839	25.777	34.2897
ENSMUSG00000026014	6.94479	7.53254	10.0201	13.0052	13.8892	8.39387	12.4671	7.53359	11.1818
ENSMUSG00000026017	1.04632	1.1887	1.29569	2.22863	2.01611	1.35715	1.71788	1.2267	1.17322
ENSMUSG00000026018	3.59672	2.74305	3.00535	4.50251	3.38558	2.12263	3.89061	3.21135	4.11635
ENSMUSG00000026019	54.8352	54.1768	50.9369	40.6212	43.7044	50.9104	54.8445	50.011	52.1218
ENSMUSG00000026020	463.961	403.454	519.139	687.432	776.545	445.317	579.763	433.025	448.856
ENSMUSG00000026021	133.857	106.386	123.465	160.73	173.419	105.519	139.44	107.711	122.757
ENSMUSG00000026024	14.7353	17.4178	17.1472	15.7464	15.5879	18.6203	16.2406	16.7391	15.9776
ENSMUSG00000026027	4.28963	1.77769	1.99371	3.78736	2.19421	2.40415	3.21495	2.45172	2.28816
ENSMUSG00000026028	9.61124	11.9317	14.3303	18.337	12.7887	14.1003	14.2339	12.3796	11.9002
ENSMUSG00000026029	1.86243	2.24669	2.34935	2.14716	2.0847	2.66701	1.89202	2.92882	1.41692
ENSMUSG00000026031	2.76969	1.5177	1.87294	1.98841	3.87652	1.16327	2.06578	1.91515	2.37077
ENSMUSG00000026032	32.5855	41.7993	38.8305	38.374	40.1036	40.4861	44.5387	38.0393	44.9657
ENSMUSG00000026034	57.4282	56.163	61.8741	94.1691	93.4699	62.3447	84.6337	57.5261	74.2689
ENSMUSG00000026035	22.0092	26.3504	25.9251	29.4797	23.7113	28.2947	29.2306	23.634	26.4094
ENSMUSG00000026036	31.753	49.4029	40.1665	28.73	27.4025	41.6263	41.1321	48.6479	41.287
ENSMUSG00000026037	47.821	58.7317	66.7244	105.954	127.756	61.5552	62.1673	56.2029	49.3308
ENSMUSG00000026039	19.959	17.1973	20.4698	39.0359	30.5358	19.0919	21.7642	16.7482	18.2431
ENSMUSG00000026042	3.55648	5.12593	4.90797	3.86337	4.90418	5.11931	4.42804	5.18001	3.22372
ENSMUSG00000026043	6.27938	7.96557	5.41264	4.43575	13.5858	5.65317	6.87807	5.17323	4.65683
ENSMUSG00000026047	12.3257	10.4116	9.60829	9.3657	10.6086	9.63461	10.6493	9.20177	10.7216
ENSMUSG00000026048	11.0067	10.2181	10.8694	10.7507	10.8868	13.0673	11.8658	12.7825	9.08258
ENSMUSG00000026049	34.638	26.6214	31.5374	37.6521	25.442	27.1584	31.1211	27.5858	27.4533
ENSMUSG00000026051	0.31357	1.06676	0.68092	0.243232	0	1.12524	1.04588	1.42461	0.540222
ENSMUSG00000026064	2.21788	1.88236	1.42967	3.62852	1.62783	1.58599	2.24981	1.32528	1.66944
ENSMUSG00000026069	5.94959	5.64274	5.40386	7.83969	9.53065	7.11726	6.93781	9.14233	5.39862
ENSMUSG00000026073	0.11555	0.466635	1.0264	0.534674	0.848115	1.84451	1.14313	1.1634	1.62824
ENSMUSG00000026074	110.872	93.4833	94.4531	107.468	104.109	103.582	108.852	90.8258	109.315
ENSMUSG00000026078	61.7965	63.2021	64.4347	64.3965	55.3239	72.3516	61.7909	58.3112	55.9371
ENSMUSG00000026080	7.41797	4.7146	3.8885	5.27785	4.77028	4.06476	4.39827	4.3265	4.5851
ENSMUSG00000026082	33.8858	27.594	29.4654	30.9676	28.4872	28.4226	26.0557	31.9987	23.4226
ENSMUSG00000026083	51.9509	54.4033	53.3565	51.2764	54.171	51.4795	54.0336	50.8858	49.7509
ENSMUSG00000026087	95.4916	112.682	109.028	91.1945	98.4085	103.104	113.754	96.2524	111.172
ENSMUSG00000026088	11.1036	9.18505	12.4568	16.6488	12.9275	9.67165	13.7688	13.2753	12.3071
ENSMUSG00000026094	10.1101	8.07867	9.59872	13.5674	11.9518	7.79612	8.89117	9.31292	7.97629
ENSMUSG00000026095	29.7948	31.9138	37.4513	41.3925	42.3771	30.3519	36.1664	30.8562	36.6586
ENSMUSG00000026096	6.94273	5.77261	6.00351	4.72185	5.87521	5.99429	5.72846	6.04968	5.27085
ENSMUSG00000026097	10.8164	10.5663	11.1244	11.8499	11.5012	11.0684	12.9092	10.6493	10.7492
ENSMUSG00000026098	10.6815	10.3811	10.8767	11.067	14.4715	10.9727	10.3241	9.3595	8.03509
ENSMUSG00000026102	3.57715	2.66053	3.0605	3.06155	4.81275	4.82517	2.79357	2.02372	1.66256
ENSMUSG00000026103	57.0953	30.214	32.9875	39.0847	28.0102	30.8673	29.7835	30.0688	26.5926
ENSMUSG00000026104	2.96442	2.73572	3.39857	4.59528	3.40423	3.52353	6.17302	4.26304	4.18923
ENSMUSG00000026107	20.466	21.2914	19.1598	41.1927	35.2435	18.5971	26.6984	17.9573	25.4745
ENSMUSG00000026110	2.1288	1.47727	1.98512	3.91212	1.54527	1.68336	1.92294	1.64394	1.40556
ENSMUSG00000026111	19.3422	17.6204	16.5059	19.8202	21.2641	17.1604	18.0171	20.7527	20.5391
ENSMUSG00000026112	11.7892	11.0428	10.9265	11.6566	12.5943	12.1189	11.741	10.3855	11.901
ENSMUSG00000026113	3.34756	3.85509	2.26494	3.84391	5.62849	3.06885	2.28965	4.63078	3.33395
ENSMUSG00000026114	0.468788	1.86222	2.7849	6.26544	7.67067	3.3237	6.04738	3.75614	5.07052
ENSMUSG00000026116	34.1067	32.8601	36.5509	38.0501	34.4147	36.213	31.6403	34.6184	31.8768
ENSMUSG00000026117	1.09872	1.97892	1.96928	2.87845	1.87607	2.20382	2.75978	1.85677	2.67784
ENSMUSG00000026121	2.27972	1.20105	1.3866	1.83861	1.82279	1.31417	1.43873	1.6123	1.28645
ENSMUSG00000026123	5.24544	7.31819	5.18718	4.39158	5.67575	5.622	5.4905	4.68127	5.62374
ENSMUSG00000026126	1.51758	2.87611	1.16859	2.414	0.778378	1.17713	0.849372	1.85152	1.60682
ENSMUSG00000026127	100.705	114.461	105.279	78.3994	72.6855	113.754	102.737	124.642	116.571
ENSMUSG00000026131	44.5624	32.2647	34.9558	51.7091	50.9942	38.3769	47.8547	33.6482	45.7745
ENSMUSG00000026134	21.2313	24.0105	20.2237	25.2132	27.0108	23.5355	24.6087	21.7756	24.3
ENSMUSG00000026135	11.5849	15.1956	13.9555	9.16285	11.2474	13.883	11.9203	15.3648	14.4265
ENSMUSG00000026142	4.70395	3.03798	3.13143	2.84463	3.317	3.3421	2.82829	3.31344	2.50791
ENSMUSG00000026150	64.8876	61.8423	55.6295	73.2203	61.8874	47.7293	50.8778	61.6483	54.1399
ENSMUSG00000026153	7.77009	6.40518	5.40935	6.71357	6.6213	4.50001	5.5077	4.77686	4.83193
