tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000000869	0	0.135646	0	0.0921059	0	0	
ENSMUSG00000000876	9.57719	12.3502	12.2338	11.2035	11.6809	10.7633	
ENSMUSG00000000881	5.64272	6.52512	6.37764	13.504	14.8382	13.9968	
ENSMUSG00000000884	13.1322	8.42894	13.3562	6.17174	4.00587	6.56817	
ENSMUSG00000000889	0	0.0839108	0.054689	0	0	0	
ENSMUSG00000000901	11.9806	11.4028	17.0459	46.2309	43.4417	45.4228	
ENSMUSG00000000902	99.259	103.361	112.215	68.7744	76.6699	72.8747	
ENSMUSG00000000903	4.51948	4.62073	3.52994	1.31146	1.60815	0.649459	
ENSMUSG00000000915	4.20629	3.54317	3.50094	3.01675	3.52473	1.81464	
ENSMUSG00000000916	9.83896	9.52759	15.6232	7.66055	8.86122	9.59042	
ENSMUSG00000000934	21.4395	24.6042	27.9027	10.4421	11.128	11.5954	
ENSMUSG00000000938	2.36541	3.06579	3.7487	9.14403	9.42672	11.9328	
ENSMUSG00000000942	0.117662	0.028832	0.0314887	0.15372	0.245981	0.237653	
ENSMUSG00000000948	0.104177	0.167382	0.135979	0.298467	0.172018	0.22797	
ENSMUSG00000000957	184.122	154.24	125.437	282.727	249.223	245.222	
ENSMUSG00000000958	3.14501	3.99263	2.92055	6.72423	6.1338	4.01884	
ENSMUSG00000000959	21.1728	22.4072	23.7627	13.5756	13.5223	11.6111	
ENSMUSG00000000976	6.68135	8.30939	7.49459	10.3622	8.95918	9.56698	
ENSMUSG00000000982	0	0.151975	0.0847877	0	0	0	
ENSMUSG00000000983	0.29034	0	0	0	0	0	
ENSMUSG00000001014	0.123735	0.604619	0.276078	0.188704	0.390766	0.261538	
ENSMUSG00000001016	63.9766	69.0298	74.9045	37.1103	40.7799	42.0699	
ENSMUSG00000001017	31.3944	35.3537	39.9284	27.8242	31.7133	31.648	
ENSMUSG00000001018	76.325	81.6171	93.2087	63.3566	61.8502	62.2572	
ENSMUSG00000001020	1366.42	1546.43	1604.65	365.161	362.332	363.541	
ENSMUSG00000001021	45.6704	45.5834	47.8703	16.6908	13.5806	18.6052	
ENSMUSG00000001023	2.78286	0.223795	2.24331	0	0.254557	0.322858	
ENSMUSG00000001025	5909.78	7034.67	6739.01	2031.09	2706.15	2608.58	
ENSMUSG00000001027	0	0	0	0	0	0	
ENSMUSG00000001029	0	0	0	0	0	0	
ENSMUSG00000001034	6.90113	8.10682	7.84452	23.8711	23.2983	25.48	
ENSMUSG00000001036	10.5336	12.8823	10.1594	17.2638	19.9007	14.8235	
ENSMUSG00000001039	24.3708	26.0579	32.1216	14.0055	12.0217	13.1055	
ENSMUSG00000001052	8.71724	7.1623	4.00119	16.944	18.0748	13.8743	
ENSMUSG00000001053	6.39127	5.80525	7.59994	2.13285	1.3418	2.06614	
ENSMUSG00000001054	21.5129	22.7246	28.0513	27.5862	25.6753	31.1908	
ENSMUSG00000001056	198.781	222.971	221.054	38.6621	48.8301	51.028	
ENSMUSG00000001062	3.70261	2.79147	5.57074	6.17112	5.40653	6.02471	
ENSMUSG00000001065	3.13494	2.26424	2.2742	9.17465	9.14271	6.82563	
ENSMUSG00000001076	0	0.0316813	0	0	0	0.0520941	
ENSMUSG00000001082	40.1264	40.8366	52.6849	52.5675	54.4594	52.3889	
ENSMUSG00000001089	29.8694	35.2504	30.2922	47.8449	45.1726	51.0513	
ENSMUSG00000001095	0	0	0	0.010436	0	0	
ENSMUSG00000001098	89.5681	109.167	124.652	162.891	165.226	160.947	
ENSMUSG00000001100	98.5289	110.887	116.445	58.7563	65.5537	66.2145	
ENSMUSG00000001103	0	0	0	0	0.0448879	0	
ENSMUSG00000001105	83.635	104.246	94.4404	78.2354	91.0918	90.4251	
ENSMUSG00000001119	307.776	315.754	332.71	565.189	585.113	554.369	
ENSMUSG00000001120	6.6851	7.83003	7.78567	12.0679	11.3853	12.8284	
ENSMUSG00000001123	154.362	178.993	199.986	71.8819	72.2561	74.2009	
ENSMUSG00000001127	44.487	58.3266	62.4118	69.6225	69.9633	63.8731	
ENSMUSG00000001128	1.34554	0.391329	1.61733	0.380405	0.204491	0.415049	
ENSMUSG00000001131	792.149	888.032	917.231	442.315	471.022	476.32	
ENSMUSG00000001134	55.7995	70.469	67.5037	24.6691	27.2613	31.4383	
ENSMUSG00000001138	0.160666	0.21227	0.34036	0.428258	0.366409	0.470302	
ENSMUSG00000001143	18.1481	20.7156	25.0879	27.8778	26.4785	24.9695	
ENSMUSG00000001150	18.2435	19.786	17.4542	18.2147	21.258	23.6497	
ENSMUSG00000001151	2.6819	1.74399	1.95364	2.97384	3.7027	2.17032	
ENSMUSG00000001155	0	0	0.0157273	0.0272865	0.0553949	0.112824	
ENSMUSG00000001156	0.946513	1.49204	1.35127	2.4243	2.44229	2.27644	
ENSMUSG00000001157	20.0073	16.4816	13.1056	14.474	9.38058	12.6673	
ENSMUSG00000001158	67.7	77.1834	73.8344	41.8821	54.831	58.2023	
ENSMUSG00000001166	1.24723	1.27433	0.329471	0.775123	0.510234	0.850547	
ENSMUSG00000001168	0	0	0	0	0	0	
ENSMUSG00000001173	12.7859	12.7397	14.5574	15.2277	14.6468	12.8581	
ENSMUSG00000001175	726.887	914.392	860.192	307.403	508.36	530.238	
ENSMUSG00000001211	40.6399	17.0209	15.739	7.03958	4.18103	4.97277	
ENSMUSG00000001225	0.0160861	0.0317986	0.0390643	0.0348025	0	0	
ENSMUSG00000001227	0.118382	0.0929755	0.0720262	0.297744	0.261875	0.290726	
ENSMUSG00000001228	37.279	38.2996	41.5288	19.5387	20.958	19.5889	
ENSMUSG00000001229	31.7492	31.0802	31.1742	16.6837	16.9952	15.1177	
ENSMUSG00000001240	13.4207	12.9525	13.8763	6.22057	2.2277	4.33416	
ENSMUSG00000001247	3.91796	3.56608	3.43567	0.616799	0.708771	1.06077	
ENSMUSG00000001248	18.4866	16.9856	18.223	35.1346	34.8665	35.1461	
ENSMUSG00000001249	0.313072	0.252708	0.127837	0.122425	0.0547107	0.0428499	
ENSMUSG00000001260	0.0187969	0	0	0.0147709	0	0	
ENSMUSG00000001270	356.44	373.841	393.354	72.0754	82.704	84.7093	
ENSMUSG00000001280	2.04466	2.54714	2.35189	4.53966	4.54376	3.93109	
ENSMUSG00000001281	2.40955	4.06585	3.08163	1.2203	0.934538	0.931218	
ENSMUSG00000001285	32.5143	41.8452	38.6601	23.1589	22.1891	25.192	
ENSMUSG00000001288	20.463	21.5494	23.4537	25.4112	26.0193	28.9191	
ENSMUSG00000001289	188.544	207.042	188.046	74.2727	102.769	91.2178	
ENSMUSG00000001300	0.500285	0.22912	0.339798	1.74841	1.596	1.35381	
ENSMUSG00000001305	30.2204	32.4126	34.7523	16.8806	19.9893	18.6949	
ENSMUSG00000001313	22.7664	21.0354	21.0624	6.29116	6.2895	5.21912	
ENSMUSG00000001323	23.2425	22.0342	23.302	20.6362	19.027	19.4827	
ENSMUSG00000001333	3.68882	1.96579	2.06611	5.39093	4.81131	5.4909	
ENSMUSG00000001334	0.0872954	0.0768379	0.216872	0.0715462	0.0565559	0.153871	
ENSMUSG00000001348	2.26878	2.21077	2.69038	1.57223	2.78908	1.79432	
ENSMUSG00000001349	257.866	273.108	324.77	233.857	267.334	243.042	
ENSMUSG00000001366	6.49457	7.54201	6.04468	14.7177	10.454	9.22145	
ENSMUSG00000001376	15.0614	19.8732	21.4774	13.2285	12.6243	13.3036	
ENSMUSG00000001380	131.002	146.336	155.644	50.9058	55.7932	55.2615	
ENSMUSG00000001383	31.5652	33.9229	29.8649	13.9019	16.1164	19.0099	
ENSMUSG00000001403	106.143	117.018	122.545	70.3288	74.5733	73.3459	
ENSMUSG00000001415	7.17407	7.90559	7.64164	13.9378	10.9898	13.1881	
ENSMUSG00000001416	468.396	505.605	544.507	172.441	169.893	162.828	
ENSMUSG00000001418	180.853	202.296	225.867	130.257	195.935	176.76	
ENSMUSG00000001419	8.62572	6.15758	3.45402	8.92845	7.73709	8.98995	
ENSMUSG00000001420	27.0872	26.2414	26.9735	9.77707	10.9213	10.3047	
ENSMUSG00000001424	273.189	308.18	355.261	384.045	121.659	97.2495	
ENSMUSG00000001435	35.2011	37.9358	40.9753	45.2496	51.8154	45.153	
ENSMUSG00000001436	17.393	19.1356	17.5455	16.4488	20.1285	16.9474	
ENSMUSG00000001440	36.2733	39.935	39.8939	19.6301	20.5662	18.8603	
ENSMUSG00000001441	43.6232	42.2665	39.3219	48.1215	34.2251	34.846	
ENSMUSG00000001444	0	0.103585	0.112544	0	0	0.0575209	
ENSMUSG00000001445	65.5971	67.0849	72.4769	34.2087	38.1534	34.4018	
ENSMUSG00000001467	72.962	88.451	90.4078	216.912	240.009	249.732	
ENSMUSG00000001472	348.626	318.533	355.048	164.301	168.904	156.223	
ENSMUSG00000001473	631.176	662.098	719.492	524.954	521.481	513.495	
ENSMUSG00000001482	28.0205	31.3421	31.0609	21.6225	21.4829	21.8886	
ENSMUSG00000001493	0.0953333	0	0.212568	0.091494	0.143567	0.129969	
ENSMUSG00000001494	0.103962	0	0	0	0	0.03535	
ENSMUSG00000001496	0	0	0	0	0	0	
ENSMUSG00000001497	0.253664	0.136336	0.0826545	0.417196	0.206871	0.0936278	
ENSMUSG00000001504	0.646968	0.570414	1.39029	1.50998	1.71635	2.64216	
ENSMUSG00000001506	1610.13	1463.42	1516.12	0	0	0	
ENSMUSG00000001507	1.43487	1.4968	1.52675	1.3471	1.67501	2.00816	
ENSMUSG00000001508	0.302503	0.10956	0.994136	0.271762	0.0776847	0	
ENSMUSG00000001510	0	0.0819446	0	0.00955043	0.0200949	0	
ENSMUSG00000001517	13.4718	12.3282	13.0717	11.155	7.95403	8.15339	
ENSMUSG00000001518	6.2887	6.80421	6.67216	6.88266	7.90364	6.18876	
ENSMUSG00000001520	0.716132	1.44615	1.17328	1.32654	1.27263	2.6286	
ENSMUSG00000001521	7.37947	7.05985	9.83564	7.13041	5.64557	6.93329	
ENSMUSG00000001524	23.4779	27.4735	31.4648	17.6272	17.9329	16.1013	
ENSMUSG00000001525	317.014	332.457	354.357	246.74	273.122	273.871	
ENSMUSG00000001542	8.0886	10.7762	7.66522	15.5257	16.9443	16.1639	
ENSMUSG00000001552	135.212	142.148	156.051	65.3775	70.9748	69.0447	
ENSMUSG00000001555	248.762	279.848	298.154	369.188	355.167	342.852	
ENSMUSG00000001558	0.249405	0.197024	0.572023	0.552537	0.588951	0.508427	
ENSMUSG00000001566	0	0	0	0	0	0	
ENSMUSG00000001569	6.41965	7.00789	6.2384	7.44298	8.60421	12.2877	
ENSMUSG00000001576	268.553	289.579	317.844	251.504	206.433	213.096	
ENSMUSG00000001583	0.400132	0.259693	0.749969	0.430151	0.332957	0.443461	
ENSMUSG00000001588	0.0342701	0.0352416	0.115143	0.0477102	0.0689405	0.10491	
ENSMUSG00000001604	3.91285	4.8899	6.30124	3.6581	5.87124	6.39668	
ENSMUSG00000001622	0	0.0526076	0	0	0	0	
ENSMUSG00000001627	23.0484	23.7667	26.0371	55.8658	56.5534	61.9985	
ENSMUSG00000001630	9.31325	8.76671	9.0899	17.421	19.2634	18.0276	
ENSMUSG00000001632	3.35547	3.63014	3.26431	9.24847	8.23995	8.58848	
ENSMUSG00000001642	201.819	221.705	233.39	55.4527	64.0853	65.6934	
ENSMUSG00000001655	0.0709725	0.0524278	0.0949459	0.0815872	0.0428329	0.0582152	
ENSMUSG00000001656	0.0177738	0.0436837	0	0.076918	0.106841	0.108706	
ENSMUSG00000001657	9.89472	9.03792	10.8937	11.0847	11.0496	10.2054	
ENSMUSG00000001661	6.17067	7.65672	5.64396	15.3296	15.0309	16.7332	
ENSMUSG00000001663	10.4811	9.2059	14.3232	11.0056	10.8705	13.5093	
ENSMUSG00000001665	16.3479	14.8427	16.2982	11.4326	12.4534	11.624	
ENSMUSG00000001666	56.9547	46.8732	59.2078	18.38	29.8655	26.6604	
ENSMUSG00000001670	0	0	0	0	0.0919575	0	
ENSMUSG00000001672	0.519183	0.284656	0.527745	0.0923867	0.237076	0.323088	
ENSMUSG00000001674	22.8379	28.4402	29.8607	12.1959	16.9778	14.4406	
ENSMUSG00000001687	9.18861	6.28255	3.91233	7.05063	6.41698	6.19826	
ENSMUSG00000001700	4.10239	4.40586	4.86716	11.2706	12.9608	10.3257	
ENSMUSG00000001707	27.6028	33.7037	33.4545	17.1492	18.2275	22.8335	
ENSMUSG00000001729	41.6675	30.8716	31.6665	15.2633	13.8175	11.9599	
ENSMUSG00000001739	0	0.217707	0.0263553	0.46999	0.502325	0.400457	
ENSMUSG00000001741	0.342912	0.447543	0.499201	0.325738	0.32483	0.574601	
ENSMUSG00000001750	12.0887	14.8982	11.691	26.1618	26.9324	28.2342	
ENSMUSG00000001751	18.935	15.7806	11.8086	30.5867	22.8109	24.9571	
ENSMUSG00000001755	27.1378	26.0539	30.1616	22.6024	25.3186	19.4796	
ENSMUSG00000001761	20.3456	14.8171	10.8351	13.4658	9.87418	11.5659	
ENSMUSG00000001763	0.0182336	0.0447804	0.0243715	0.0789279	0.041693	0.0195297	
ENSMUSG00000001767	12.3285	13.8054	14.8861	11.964	10.2183	12.4015	
ENSMUSG00000001768	1.97081	2.08771	2.50576	9.20781	11.1606	8.51932	
ENSMUSG00000001773	0.264679	0.13426	0.0740903	0.272908	0.480779	0.142045	
ENSMUSG00000001774	30.6051	36.801	32.9716	43.5776	49.8035	44.7101	
ENSMUSG00000001783	139.586	164.784	182.773	106.17	97.6997	98.298	
ENSMUSG00000001785	48.7323	46.196	52.2544	27.5247	25.6555	23.4857	
ENSMUSG00000001786	15.5997	20.3332	14.9057	15.8427	14.7095	17.888	
ENSMUSG00000001794	530.837	584.329	652.147	173.771	160.109	181.554	
ENSMUSG00000001802	0.660474	0.582573	2.15612	0.210704	0.358775	0.246502	
ENSMUSG00000001804	0.067802	0	0	0.0831047	0.0440637	0.0200099	
ENSMUSG00000001815	0.0807711	0	0.0423848	0	0.0120367	0	
ENSMUSG00000001819	0.843179	0.276848	0.394796	0.918662	0.975491	1.06649	
ENSMUSG00000001823	0.83787	0.558195	0.955502	0.838422	1.11967	1.29663	
ENSMUSG00000001827	0.855568	2.02498	2.3754	0.885283	1.04374	1.69725	
ENSMUSG00000001829	117.382	111.586	137.02	63.3252	55.6654	44.8603	
ENSMUSG00000001833	270.141	325.29	336.862	213.364	228.215	244.541	
ENSMUSG00000001844	62.7643	66.2095	75.9713	31.3977	33.2855	32.4916	
ENSMUSG00000001847	243.89	62.8791	42.5319	37.1696	16.8871	25.9868	
ENSMUSG00000001855	10.9155	10.6164	13.9366	18.0024	15.6156	13.9117	
ENSMUSG00000001864	14.3327	14.5322	15.8621	5.10448	6.91815	5.5142	
ENSMUSG00000001865	0	0	0	0	0.258135	0	
ENSMUSG00000001870	89.7466	69.259	70.6107	139.382	115.632	111.291	
ENSMUSG00000001891	90.3225	98.9415	106.987	54.8784	56.4645	51.0694	
ENSMUSG00000001901	0.0300918	0.0123764	0.0134174	0.0286977	0	0.04142	
ENSMUSG00000001909	36.5217	39.4365	46.041	24.2047	26.5581	22.8923	
ENSMUSG00000001910	3.72265	1.77098	1.81441	3.39836	2.38954	2.97123	
ENSMUSG00000001911	33.6462	29.8118	34.3887	19.2615	21.8371	21.0267	
ENSMUSG00000001918	42.5844	32.0408	27.3843	49.4424	41.6009	41.8125	
ENSMUSG00000001924	278.892	307.622	324.936	124.224	124.705	124.461	
ENSMUSG00000001930	0.048766	0.0608965	0	0.305017	0.614553	0.102185	
ENSMUSG00000001942	3.06435	4.24647	3.43915	8.26398	6.83602	5.17344	
ENSMUSG00000001943	0	0.243765	0	0.289116	0	0	
ENSMUSG00000001946	0.85992	0.647041	1.26717	0.657491	0.542354	1.04558	
