tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000022102	3.34646	2.53088	2.92638	3.53784	1.16262	1.13719
ENSMUSG00000022105	5.97691	4.359	5.20629	4.35449	3.04109	2.24089
ENSMUSG00000022106	25.2013	27.5292	25.614	27.2794	23.769	23.8708
ENSMUSG00000022108	615.705	691.665	707.951	626.463	633.831	646.992
ENSMUSG00000022109	23.827	31.6245	29.6237	31.5327	32.122	29.7767
ENSMUSG00000022110	129.603	142.423	159.493	75.1087	77.0084	71.3445
ENSMUSG00000022111	149.812	158.11	182.729	43.1697	45.0116	46.2043
ENSMUSG00000022114	0.222638	0.273688	0.252039	1.25906	1.13324	2.09709
ENSMUSG00000022119	3.44298	2.03771	2.06499	4.06248	3.55979	4.09116
ENSMUSG00000022120	2.68525	3.30167	2.71482	5.1579	5.41052	4.97102
ENSMUSG00000022122	1.1038	0.564484	1.15923	0.574069	0.502522	1.09935
ENSMUSG00000022123	1.00497	1.11603	1.48589	0.414686	0.675163	0.680735
ENSMUSG00000022124	5.47522	3.58233	3.87813	8.49814	6.0518	6.99299
ENSMUSG00000022125	16.63	14.312	17.3503	20.7551	17.991	20.5514
ENSMUSG00000022130	17.2289	18.4879	26.3832	34.44	35.3131	35.7395
ENSMUSG00000022131	22.6748	16.0282	13.5729	42.7456	34.9745	36.7187
ENSMUSG00000022136	15.9247	14.9659	12.2358	19.153	18.329	17.7443
ENSMUSG00000022139	134.051	142.38	151.891	203.51	198.315	184.312
ENSMUSG00000022141	2.46837	3.84131	2.92489	4.3054	4.14763	3.90702
ENSMUSG00000022142	8.64249	11.6391	8.16425	8.96142	9.44333	8.84105
ENSMUSG00000022146	22.8511	22.6523	23.8616	90.8668	86.1775	83.0901
ENSMUSG00000022148	0.692491	1.3956	1.05691	0.76109	0.391629	0.426096
ENSMUSG00000022150	29.8402	38.7268	29.8406	61.4306	69.9299	66.7328
ENSMUSG00000022151	5.79941	9.89591	8.8977	10.0719	12.8485	10.3447
ENSMUSG00000022156	4.6527	6.03786	6.09982	4.84567	5.70518	5.83488
ENSMUSG00000022157	30.9794	34.5219	32.8756	21.806	21.1084	17.6618
ENSMUSG00000022159	23.3069	23.8028	33.7005	20.2329	18.6635	18.2087
ENSMUSG00000022160	18.3574	19.9416	25.1419	28.0318	15.1725	10.3551
ENSMUSG00000022174	353.825	386.168	401.619	200.027	246.448	254.239
ENSMUSG00000022175	23.6626	15.5687	12.6069	30.6059	24.2517	23.9859
ENSMUSG00000022176	0.906545	1.20789	0.980655	0.348372	0.318313	1.14675
ENSMUSG00000022177	17.568	13.9703	19.4242	10.2595	10.3495	11.0237
ENSMUSG00000022178	6.5388	4.94999	4.4862	23.0095	19.3176	15.7599
ENSMUSG00000022179	0.440478	0.606861	0.277293	2.45902	1.75379	1.24115
ENSMUSG00000022184	37.3441	29.8557	21.2125	21.1612	18.3482	19.4978
ENSMUSG00000022185	10.1061	10.7667	11.2937	6.57088	7.93272	7.64605
ENSMUSG00000022186	187.571	212.788	213.613	111.394	104.995	95.2652
ENSMUSG00000022191	37.5739	40.1194	42.9873	18.3966	20.0145	19.3056
ENSMUSG00000022193	225.403	261.802	264.881	100.041	116.266	133.316
ENSMUSG00000022194	113.823	80.4818	76.476	62.8962	41.7762	46.3778
ENSMUSG00000022195	2.72535	3.35686	3.06676	6.61398	6.25171	5.94248
ENSMUSG00000022197	3.54124	1.84288	2.42369	2.01815	1.91916	2.66913
ENSMUSG00000022199	7.05136	3.8371	3.25375	16.9388	13.0377	13.0876
ENSMUSG00000022200	47.981	34.0027	26.6172	39.6165	29.4139	33.8096
ENSMUSG00000022201	46.0486	53.3888	56.784	41.5541	35.5411	35.9884
ENSMUSG00000022203	3.58462	3.44732	3.50241	9.92199	11.2091	10.8131
ENSMUSG00000022204	45.4844	49.9966	60.6956	28.8205	42.3954	36.4781
ENSMUSG00000022205	282.973	329.133	338.614	196.777	229.424	251.655
ENSMUSG00000022206	1.0786	1.42084	0.980125	1.65014	1.75926	1.24161
ENSMUSG00000022210	28.048	31.2321	35.2304	14.9329	13.3225	15.885
ENSMUSG00000022214	19.5249	21.3135	20.078	18.5136	18.2329	15.0082
ENSMUSG00000022216	97.3995	92.1766	103.504	52.7669	49.7328	55.4448
ENSMUSG00000022217	14.4714	14.0438	18.7163	16.5112	18.2804	20.0291
ENSMUSG00000022218	18.4933	15.0069	21.0927	7.70778	7.40194	7.69007
ENSMUSG00000022219	1.03219	1.92824	1.00409	1.6542	1.16311	1.73849
ENSMUSG00000022220	0.687111	2.17641	0.471429	1.96064	1.30025	2.00557
ENSMUSG00000022221	127.053	124.579	148.875	89.3303	83.502	84.9691
ENSMUSG00000022223	36.29	33.0837	36.9139	25.123	24.9761	23.3626
ENSMUSG00000022228	0.400409	0.539127	0.587662	1.33803	1.20575	1.25281
ENSMUSG00000022231	3.54525	3.70006	2.5971	8.36521	7.0262	8.78652
ENSMUSG00000022234	606.355	668.264	736.133	219.421	237.817	240.851
ENSMUSG00000022236	5.05576	6.34489	4.75643	2.81148	2.39045	3.02076
ENSMUSG00000022240	2.58647	1.36228	1.5651	0.56969	0.570274	1.19245
ENSMUSG00000022241	85.185	99.9491	101.852	57.3562	61.1203	60.2106
ENSMUSG00000022244	7.3459	11.0273	9.51821	12.4279	9.42259	11.5463
ENSMUSG00000022246	37.0749	38.1737	39.2559	44.7906	49.9015	48.9547
ENSMUSG00000022247	44.4584	44.9855	56.8563	41.4268	64.666	56.3675
ENSMUSG00000022248	8.35694	8.08992	11.3935	12.5501	10.6459	11.3042
ENSMUSG00000022253	2.92871	1.57986	1.03114	1.35998	1.12138	1.59888
ENSMUSG00000022255	25.9848	28.6392	26.9192	24.7894	35.2179	29.8575
ENSMUSG00000022257	36.2839	41.0533	42.7025	56.2813	59.1053	60.069
ENSMUSG00000022261	50.7147	56.5156	65.3491	74.9238	79.1303	80.784
ENSMUSG00000022263	3.51995	3.65131	2.48997	7.04488	6.15461	6.54329
ENSMUSG00000022265	7.35666	4.56514	4.27552	3.54085	2.36918	4.07878
ENSMUSG00000022270	2.40595	1.33923	2.00847	0.8035	1.12795	2.49359
ENSMUSG00000022272	16.7827	14.5342	13.2172	28.3402	30.2572	25.761
ENSMUSG00000022280	7.98665	8.71394	8.20267	23.8227	23.5758	21.2772
ENSMUSG00000022283	340.002	419.798	407.571	87.0884	94.441	107.24
ENSMUSG00000022285	673.317	745.701	794.743	278.099	322.063	325.745
ENSMUSG00000022292	4.79869	2.50811	7.65976	5.84528	5.05017	5.80178
ENSMUSG00000022295	51.9889	58.0313	60.5581	33.2481	39.1517	36.0434
ENSMUSG00000022297	0.85585	1.45348	0.97205	2.43834	2.05483	3.5767
ENSMUSG00000022299	6.52406	6.53543	8.94857	11.4011	9.83	9.09479
ENSMUSG00000022300	37.0692	46.9051	55.2722	44.6614	43.7915	42.9988
ENSMUSG00000022305	3.49549	2.13537	2.59244	5.19201	5.43047	5.75446
ENSMUSG00000022306	0.700376	1.1079	0.890488	5.60869	4.3612	5.14631
ENSMUSG00000022307	18.816	14.4169	14.5975	17.5138	13.8443	14.0535
ENSMUSG00000022309	1.0198	1.9714	0.988409	1.84121	1.54973	2.06134
ENSMUSG00000022312	218.618	246.198	261.81	73.9268	81.0596	78.8082
