tracking_id	15_1	15_2	15_3	16_1	16_2	16_3
ENSG00000183624	36.0839	40.904	37.1367	43.1777	45.7652	49.444
ENSG00000183628	3.21186	1.67148	2.14124	3.11603	2.26143	2.79151
ENSG00000183640	1.36727	0	1.28155	0.243667	0.301388	0.245985
ENSG00000183647	2.01363	0.802342	1.27059	2.55744	2.80805	3.59603
ENSG00000183648	329.748	356.703	322.977	371.657	450.825	437.05
ENSG00000183655	5.93488	5.8688	6.07123	7.09272	8.87779	6.64682
ENSG00000183665	3.13112	4.13917	3.22992	4.19844	3.64718	3.22328
ENSG00000183666	18.0889	17.0509	19.3168	13.8256	18.0108	20.1249
ENSG00000183671	17.214	20.6276	17.9862	20.9024	25.0677	24.0337
ENSG00000183684	4.31217	2.42742	1.02719	4.71554	1.84783	1.22854
ENSG00000183688	1.82208	0.722442	0.508843	1.46191	0.844888	0.664347
ENSG00000183696	7.892	7.86701	9.64272	12.2552	13.2519	13.8844
ENSG00000183718	10.6861	12.676	14.895	14.3087	14.5028	15.2977
ENSG00000183722	80.2157	87.4218	88.9779	101.96	101.586	110.668
ENSG00000183723	1.23302	1.23802	1.19968	1.07246	1.45139	1.16593
ENSG00000183726	146.289	171.556	161.968	147.534	168.706	158.588
ENSG00000183735	27.0461	26.4701	24.7158	30.6293	27.0001	30.8438
ENSG00000183741	18.004	15.4628	13.5406	18.1515	13.8411	19.2751
ENSG00000183747	0.909353	0.846967	1.24572	0	1.29985	0.378489
ENSG00000183751	57.9526	54.8929	64.421	54.0031	53.9571	63.2889
ENSG00000183762	5.81723	3.35523	3.59609	2.68551	1.57781	1.7862
ENSG00000183763	6.95541	4.89631	6.86178	10.167	11.0532	9.63821
ENSG00000183765	13.3011	14.7461	14.4722	18.4946	15.9274	17.1235
ENSG00000183779	2.30897	1.0323	1.01732	1.68048	1.31252	1.36728
ENSG00000183793	1.04053	2.4001	1.51196	1.24924	1.38058	2.01224
ENSG00000183798	1.12257	1.32986	0.946755	0.793791	0.582616	0.673092
ENSG00000183801	0.836516	1.96513	1.8469	2.57011	2.81759	3.19446
ENSG00000183808	11.6621	13.7527	17.1523	13.4589	19.1425	13.8169
ENSG00000183814	6.08173	6.93487	8.95853	7.35444	8.81609	7.06309
ENSG00000183826	8.73401	10.4684	8.57965	12.3713	10.6406	8.61672
